"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Comoros"	174	3.932	3.4865	3.1181	2.8231	2.5818	2.3839	2.2219	2.0866	1.9707	1.8689	1.7846	1.7114	1.6507	1.5962	1.5519	1.5182	1.4914
"Congo"	178	4.3482	3.9449	3.6022	3.3016	3.0432	2.8219	2.6305	2.4696	2.3253	2.2093	2.0981	2.0069	1.9227	1.8491	1.784	1.7348	1.691
"Costa Rica"	188	1.5515	1.3984	1.2865	1.203	1.1473	1.1314	1.1439	1.1774	1.2195	1.2632	1.3076	1.3449	1.3816	1.4115	1.436	1.4605	1.4785
"Cote d'Ivoire"	384	4.4721	4.0439	3.6854	3.3692	3.1068	2.8767	2.6859	2.5181	2.372	2.2411	2.1256	2.0242	1.9319	1.8532	1.7886	1.7309	1.6779
"Croatia"	191	1.2772	1.1624	1.0877	1.0609	1.0829	1.1353	1.1922	1.2434	1.2883	1.3277	1.3621	1.3921	1.414	1.4356	1.4549	1.4691	1.483
"Cuba"	192	1.3773	1.2597	1.1784	1.1367	1.1321	1.1546	1.2006	1.2461	1.2882	1.3244	1.3596	1.3883	1.4166	1.4395	1.4589	1.4737	1.4913
"Curacao"	531	1.883	1.7634	1.6811	1.6226	1.5832	1.5591	1.5504	1.5511	1.5537	1.5596	1.5668	1.572	1.5767	1.584	1.5891	1.5949	1.601
"Cyprus"	196	1.2227	1.1096	1.039	1.0146	1.0344	1.0929	1.1528	1.2073	1.2559	1.2978	1.3342	1.3678	1.3948	1.4184	1.4397	1.4594	1.4754
"Czech Republic"	203	1.418	1.4432	1.4695	1.4942	1.5156	1.5358	1.5506	1.5633	1.573	1.5846	1.5927	1.5987	1.6039	1.6076	1.6094	1.6126	1.6163
"Dem. People's Republic of Korea"	408	1.7175	1.5921	1.5038	1.4447	1.4095	1.4002	1.399	1.4085	1.4219	1.4354	1.4509	1.4689	1.483	1.4966	1.5105	1.5213	1.5341
"Democratic Republic of the Congo"	180	5.3439	4.6563	4.04	3.4941	3.0586	2.7126	2.447	2.2454	2.0819	1.9562	1.8564	1.7694	1.7062	1.646	1.6006	1.5605	1.5333
"Denmark"	208	1.6492	1.6378	1.6344	1.636	1.6376	1.6391	1.6412	1.6447	1.6466	1.6486	1.65	1.6521	1.652	1.6536	1.6536	1.6549	1.6575
"Djibouti"	262	2.6812	2.335	2.0944	1.9183	1.7806	1.6708	1.5792	1.5042	1.4486	1.4065	1.3736	1.3544	1.3426	1.3372	1.3406	1.3481	1.362
"Dominican Republic"	214	2.1366	1.9293	1.7628	1.6259	1.5159	1.4231	1.3521	1.2966	1.2635	1.2484	1.246	1.2586	1.2793	1.3067	1.3364	1.3691	1.3975
