"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Brunei Darussalam"	96	1.5688	1.3553	1.2154	1.1931	1.1835	1.1815	1.1869	1.196	1.2071	1.2186	1.2298	1.2422	1.2524	1.2626	1.2728	1.2822	1.2909
"Cambodia"	116	2.2762	1.9862	1.7701	1.674	1.595	1.5253	1.4676	1.4184	1.3817	1.353	1.3333	1.3179	1.3072	1.2995	1.2977	1.2949	1.2971
"Indonesia"	360	2.1066	1.8401	1.6436	1.5661	1.5021	1.4513	1.4145	1.3873	1.366	1.353	1.3444	1.3375	1.3358	1.3347	1.3338	1.3354	1.3373
"Lao People's Dem. Republic"	418	2.5205	2.1281	1.8403	1.6874	1.566	1.4685	1.3902	1.3371	1.3009	1.2786	1.2667	1.2627	1.2625	1.2661	1.2725	1.2797	1.2866
"Malaysia"	458	1.645	1.4323	1.2876	1.2553	1.2366	1.2268	1.2244	1.2258	1.23	1.2378	1.2476	1.2548	1.2636	1.2722	1.2803	1.2874	1.2933
"Myanmar"	104	1.8842	1.6354	1.4541	1.3912	1.3427	1.3108	1.2894	1.2781	1.27	1.2693	1.2719	1.2747	1.28	1.2841	1.2909	1.2968	1.3033
"Philippines"	608	2.6166	2.3175	2.0901	1.9721	1.872	1.7788	1.6977	1.6199	1.5566	1.5018	1.457	1.4207	1.3901	1.3675	1.3503	1.3384	1.3294
"Singapore"	702	1.0111	0.887	0.809	0.8305	0.8508	0.868	0.8845	0.8996	0.914	0.9254	0.9378	0.9476	0.9584	0.967	0.9745	0.9826	0.9895
"Thailand"	764	1.2077	1.0161	0.9333	0.9728	1.0114	1.0484	1.0831	1.1153	1.1426	1.1692	1.1913	1.2114	1.2304	1.2458	1.2586	1.2702	1.2797
"Timor-Leste"	626	5.0775	4.3839	3.7984	3.3821	3.0251	2.7324	2.4927	2.2971	2.1327	1.9915	1.873	1.7656	1.6743	1.5957	1.5348	1.4834	1.4432
"Viet Nam"	704	1.7007	1.5419	1.4327	1.4274	1.4236	1.4209	1.4169	1.4158	1.414	1.4129	1.4105	1.4105	1.41	1.4077	1.4085	1.4079	1.4072
"Western Asia"	922	2.49655894	2.215188897	2.012201242	1.928850679	1.859117599	1.802493385	1.754505038	1.712659347	1.675601859	1.644776332	1.618102242	1.599155586	1.582565987	1.564094444	1.545188225	1.52213798	1.500344215
"Armenia"	51	1.2572	1.1004	1.0248	1.0512	1.0797	1.1077	1.133	1.1577	1.1804	1.1998	1.2176	1.235	1.2491	1.2618	1.2728	1.2818	1.291
"Azerbaijan"	31	1.9723	1.7499	1.5904	1.5395	1.4977	1.4626	1.436	1.4163	1.4008	1.3886	1.3808	1.3745	1.3699	1.3664	1.3648	1.3643	1.3639
"Bahrain"	48	1.7289	1.4754	1.2944	1.2343	1.1962	1.177	1.1701	1.171	1.1797	1.1921	1.2054	1.2193	1.23	1.2417	1.254	1.2652	1.2749
"Cyprus"	196	1.1701	1.0225	0.9596	0.9991	1.0354	1.0714	1.1039	1.1331	1.1592	1.1837	1.2053	1.223	1.2388	1.2527	1.2662	1.2759	1.2861
"Georgia"	268	1.5689	1.4271	1.3339	1.3399	1.3469	1.3508	1.355	1.3583	1.3609	1.3636	1.3677	1.3689	1.3703	1.3697	1.3722	1.3724	1.3732
"Iraq"	368	4.1001	3.6887	3.3551	3.1505	2.9688	2.8087	2.6659	2.5357	2.4177	2.3142	2.2141	2.1223	2.0363	1.9552	1.881	1.807	1.7401
"Israel"	376	2.6761	2.4116	2.2094	2.116	2.0292	1.9519	1.8768	1.8058	1.7394	1.6797	1.6254	1.5794	1.5394	1.5074	1.4777	1.4558	1.4375
"Jordan"	400	2.9462	2.5418	2.2374	2.0667	1.9191	1.7933	1.6817	1.5883	1.5103	1.4465	1.3991	1.3657	1.3397	1.3216	1.3118	1.3059	1.3022
"Kuwait"	414	1.7925	1.566	1.4238	1.4009	1.3841	1.3718	1.3642	1.3607	1.3576	1.3563	1.3571	1.3581	1.3593	1.3597	1.3606	1.3627	1.3633
"Lebanon"	422	1.4592	1.3044	1.2033	1.2059	1.2104	1.215	1.223	1.2325	1.2416	1.2523	1.2622	1.2712	1.279	1.2875	1.2942	1.3014	1.3066
"Oman"	512	2.2647	1.8564	1.5624	1.4112	1.3011	1.23	1.193	1.1831	1.1899	1.2045	1.2187	1.232	1.2447	1.2567	1.2685	1.2783	1.2876
"Qatar"	634	1.6989	1.4432	1.262	1.2072	1.1723	1.1549	1.1502	1.1554	1.1662	1.1816	1.197	1.2135	1.2275	1.2414	1.2532	1.2645	1.2751
"Saudi Arabia"	682	2.3428	1.9933	1.7314	1.6023	1.4937	1.4072	1.342	1.2965	1.2687	1.253	1.2441	1.2453	1.249	1.2556	1.2621	1.2689	1.2774
"State of Palestine"	275	3.6959	3.2509	2.8986	2.6846	2.5052	2.3495	2.2113	2.091	1.9878	1.8896	1.8013	1.7215	1.649	1.5865	1.5364	1.4904	1.4531
"Syrian Arab Republic"	760	2.5213	2.1621	1.8909	1.7456	1.6216	1.5191	1.435	1.3717	1.3241	1.2915	1.2728	1.2595	1.2579	1.2566	1.2618	1.2657	1.2721
"Turkey"	792	1.7552	1.5242	1.3626	1.317	1.285	1.2635	1.2522	1.2481	1.2481	1.251	1.255	1.2622	1.2702	1.2756	1.2834	1.2908	1.2961
"United Arab Emirates"	784	1.4785	1.2594	1.1192	1.104	1.1047	1.115	1.1313	1.151	1.1706	1.1899	1.2076	1.2256	1.2403	1.2528	1.2653	1.2763	1.2853
"Yemen"	887	3.5359	2.958	2.52	2.2489	2.019	1.8248	1.6573	1.5121	1.3936	1.3028	1.2344	1.1954	1.1699	1.1622	1.1674	1.177	1.1928
"Europe"	908	1.374165563	1.25765888	1.194323486	1.225374514	1.251729841	1.274225438	1.291357125	1.304639431	1.315294417	1.324434926	1.333274814	1.339946618	1.345264802	1.349895926	1.354887994	1.358838267	1.362660518
"Eastern Europe"	923	1.345840455	1.234122004	1.174249167	1.211321642	1.244459248	1.271462548	1.292572128	1.309266585	1.322168531	1.333268873	1.34452527	1.352474074	1.359110769	1.364541095	1.369692415	1.373375186	1.377553163
"Belarus"	112	1.3939	1.2907	1.2282	1.2575	1.2812	1.3013	1.3166	1.3299	1.3391	1.3476	1.3545	1.3601	1.3654	1.3691	1.3726	1.3755	1.378
"Bulgaria"	100	1.3482	1.259	1.2056	1.2434	1.2714	1.2932	1.3107	1.3255	1.3369	1.3466	1.3531	1.3601	1.3644	1.3674	1.371	1.3735	1.3752
"Czech Republic"	203	1.2862	1.2023	1.1549	1.1979	1.2316	1.2578	1.2792	1.2972	1.3106	1.3224	1.3325	1.3393	1.3462	1.3513	1.3558	1.3596	1.3616
"Hungary"	348	1.1522	1.0577	1.0033	1.0454	1.0803	1.1113	1.137	1.1612	1.1817	1.1981	1.2134	1.2264	1.2379	1.2482	1.2568	1.2621	1.2693
"Poland"	616	1.0774	0.9334	0.8842	0.933	0.9808	1.023	1.0634	1.0993	1.1318	1.1574	1.1823	1.2033	1.2217	1.2381	1.2514	1.2636	1.2751
"Republic of Moldova"	498	0.9793	0.8416	0.8053	0.8667	0.9224	0.9743	1.0219	1.0642	1.1014	1.1326	1.1603	1.1864	1.2069	1.2251	1.2394	1.2523	1.2659
